Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2001, 2006]	гарри	Q152316	Гарри Чарльз Альберт Дэвид	P69	учебное заведение	Королевская военная академия в Сандхёрсте	0	0	2005-05-08	0	0
[2001, 2006]	гарри	Q152316	Гарри Чарльз Альберт Дэвид	P241	вид или род войск	Британская армия	0	0	2005-01-01	2015-01-01	0
[1983, 1988]	гарри	Q63452	Шнайдер, Курт Фриц	P570	дата смерти	0	0	1985-05-04	0	0	0
[2008, 2009]	гарри	Q152316	Гарри Чарльз Альберт Дэвид	P410	воинское звание	лейтенант	0	0	2008-04-13	0	0
[1963, 1967]	гарринч	Q180642	Гарринча	P54	член спортивной команды	Коринтианс	0	0	1966-01-01	1966-01-01	0
[1982, 1984]	гарринч	Q180642	Гарринча	P570	дата смерти	0	0	1983-01-20	0	0	0
[1963, 1967]	гарринч	Q180642	Гарринча	P54	член спортивной команды	сборная Бразилии по футболу	0	0	1955-01-01	1966-01-01	0
[1963, 1967]	гарринч	Q180642	Гарринча	P54	член спортивной команды	Ботафого	0	0	1953-01-01	1965-01-01	0
[1978, 1982]	гаррисон	Q3274718	Гаррисон	P571	дата основания/создания/возникновения	0	0	1978-01-11	0	0	0
[1956, 1962]	гаруд	Q912773	(2307) Гаруда	P575	дата открытия	0	0	1957-04-18	0	0	0
1997	гарф	Q2860426	Государственный архив Российской Федерации	P131	административно-территориальная единица	Хамовники	0	0	1995-07-05	0	0
[1991, 2006]	гарф	Q2860426	Государственный архив Российской Федерации	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[2003, 2005]	гарфилд	Q568928	Гарфилд	P577	дата публикации	0	0	2004-08-19	0	0	0
[2003, 2005]	гарфилд	Q568928	Гарфилд	P577	дата публикации	0	0	2004-06-06	0	0	0
[2003, 2005]	гарфилд	Q4564573	Гарфилд	P577	дата публикации	0	0	2004-11-19	0	0	0
1931	гарфилд	Q695782	Гарфилд	P571	дата основания/создания/возникновения	0	0	1881-01-01	0	0	0
1987	гархвал	Q1460406	Гархвал	P131	административно-территориальная единица	Объединённые провинции	0	0	1937-04-01	1950-01-25	0
1987	гархвал	Q1460406	Гархвал	P131	административно-территориальная единица	Соединённые провинции	0	0	1921-01-03	1937-04-01	0
1930	гарь	Q21850310	Гарь	P131	административно-территориальная единица	Спас-Деменский уезд	0	0	1921-03-03	1929-09-30	0
[1961, 1962]	гарь	Q21850310	Гарь	P131	административно-территориальная единица	Куйбышевский район	0	0	1939-05-16	1961-12-31	0
[1964, 1967]	гарь	Q21850310	Гарь	P131	административно-территориальная единица	Куйбышевский район	0	0	1965-01-01	2004-10-03	0
1930	гарь	Q21850310	Гарь	P131	административно-территориальная единица	Куйбышевский район	0	0	1929-10-01	1931-12-31	0
[1964, 1967]	гарь	Q21850310	Гарь	P131	административно-территориальная единица	Кировский район	0	0	1962-01-01	1964-12-31	0
[1976, 1983]	гас	Q3120992	Гас	P577	дата публикации	0	0	1976-07-07	0	0	0
1988	гас	Q16980279	Гас	P276	местонахождение	Зоопарк Центрального парка	0	0	1988-01-01	2013-01-01	0
[2004, 2005]	гаспар	Q3824692	Гаспар	P54	член спортивной команды	Атлетико Мадрид	0	0	2003-01-01	2004-01-01	0
[1974, 1980]	гаспар	Q3232939	Гаспары	P577	дата публикации	0	0	1974-01-01	0	0	0
[1974, 1980]	гаспар	Q3824692	Гаспар	P569	дата рождения	0	0	1979-07-07	0	0	0
2007	гаспар	Q3824692	Гаспар	P54	член спортивной команды	Депортиво Алавес	0	0	2005-01-01	2008-01-01	0
2007	гаспар	Q3824692	Гаспар	P54	член спортивной команды	Альбасете	0	0	2004-01-01	2005-01-01	0
2009	гастарбайтер	Q4134110	Гастарбайтер	P577	дата публикации	0	0	2009-01-01	0	0	0
1940	гастингс	Q2092792	Гастингс	P571	дата основания/создания/возникновения	0	0	1890-01-01	0	0	0
[1989, 1991]	гастролер	Q5288496	Гастролёр	P577	дата публикации	0	0	1989-11-01	0	0	0
[1999, 2003]	гатиев	Q4134161	Гатиев, Эдуард Рамазанович	P54	член спортивной команды	Автодор	0	0	1999-01-01	2003-01-01	0
[2002, 2005]	гатино	Q141844	Гатино	P571	дата основания/создания/возникновения	0	0	2002-01-01	0	0	0
[1946, 1948]	гатт	Q194284	Генеральное соглашение по тарифам и торговле	P571	дата основания/создания/возникновения	0	0	1947-10-30	0	0	0
[1946, 1948]	гатт	Q194284	Генеральное соглашение по тарифам и торговле	P585	момент времени	0	0	1947-01-01	0	0	0
2002	гаттер	Q4373183	Порри Гаттер	P577	дата публикации	0	0	2002-01-01	0	0	0
[1937, 1942]	гатчина	Q7436	Гатчина	P131	административно-территориальная единица	Гатчинский район	0	0	1927-08-01	1938-10-01	0
1944	гатчина	Q7436	Гатчина	P131	административно-территориальная единица	Ленинградская область	0	0	1944-01-26	2005-12-31	0
1923	гатчина	Q7436	Гатчина	P131	административно-территориальная единица	Троцкий уезд	0	0	1922-08-12	1927-08-01	0
[1985, 1999]	гатчина	Q51031	Гатчина	P576	дата прекращения существования	0	0	1997-01-01	0	0	0
[1985, 1999]	гатчина	Q51031	Гатчина	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
1923	гатчина	Q7436	Гатчина	P131	административно-территориальная единица	Царскосельский уезд	0	0	1780-01-01	1922-08-12	0
[1937, 1942]	гатчина	Q7436	Гатчина	P131	административно-территориальная единица	Ленинградская область	0	0	1938-11-01	1941-01-01	0
1923	гатчино	Q7436	Гатчина	P131	административно-территориальная единица	Троцкий уезд	0	0	1922-08-12	1927-08-01	0
1923	гатчино	Q7436	Гатчина	P131	административно-территориальная единица	Царскосельский уезд	0	0	1780-01-01	1922-08-12	0
[2000, 2004]	гаубич	Q666299	Гаубич	P463	участник организации или клуба	Climate Alliance	0	0	2003-01-01	0	0
1995	гаудеамус	Q2461239	Гаудеамус	P571	дата основания/создания/возникновения	0	0	1945-01-01	0	0	0
[1965, 1968]	гаупвахта	Q195116	Гауптвахта	P793	ключевое событие	строительство	0	0	1967-01-01	1968-01-01	0
[1933, 1940]	гаусс	Q733473	Гаусс	P138	названо в честь	Карл Фридрих Гаусс	0	0	1935-01-01	0	0
[1996, 1997]	гаутинг	Q74057	Гаутинг	P463	участник организации или клуба	Climate Alliance	0	0	1996-01-01	0	0
2005	гауф	Q21103593	Гауф	P131	административно-территориальная единица	Гауфское сельское поселение	0	0	2004-01-01	0	0
1924	гауфф	Q57966	Вильгельм Гауф	P69	учебное заведение	Тюбингенский университет	0	0	1820-01-01	1824-01-01	0
1927	гауфф	Q57966	Вильгельм Гауф	P570	дата смерти	0	0	1827-11-18	0	0	0
[1996, 1999]	гаухман	Q4134251	Гаухман, Инна Исааковна	P570	дата смерти	0	0	1997-01-01	0	0	0
1977	гаучо	Q3987191	Гаучо	P577	дата публикации	0	0	1927-01-01	0	0	0
1924	гафний	Q1119	гафний	P575	дата открытия	0	0	1922-01-01	0	0	0
[1963, 1978]	гафуров	Q187977	Гафуров	P138	названо в честь	Советы	0	0	1965-01-01	1978-01-01	0
[1930, 1932]	гах	Q1017662	Гах	P131	административно-территориальная единица	Гахский район	0	0	1930-08-08	0	0
[1965, 1973]	гахал	Q2575544	ГАХАЛ	P571	дата основания/создания/возникновения	0	0	1965-05-25	0	0	0
[1947, 1951]	гахать	Q1070487	Херут	P571	дата основания/создания/возникновения	0	0	1948-06-15	0	0	0
1925	гацук	Q3919359	Гацук	P131	административно-территориальная единица	Гацуковский сельсовет	0	0	1924-07-17	0	0
1925	гацук	Q3919359	Гацук	P131	административно-территориальная единица	Слуцкий уезд	0	0	1793-01-01	1924-07-17	0
1977	гашек	Q386298	(2734) Гашек	P575	дата открытия	0	0	1976-04-01	0	0	0
1948	гашун	Q4134354	Гашун	P571	дата основания/создания/возникновения	0	0	1898-01-01	0	0	0
1943	гаянэ	Q539437	Гаянэ	P1191	первое исполнение	0	0	1942-12-09	0	0	0
[1993, 1994]	гваделупа	Q3301013	Гваделупе	P580	дата начала	0	0	1993-05-31	0	0	0
[2006, 2007]	гвазав	Q4134394	Гвазава, Левани Тенгизович	P54	член спортивной команды	Спартак-Нальчик	0	0	2006-01-01	2007-01-01	0
[1998, 2000]	гвазав	Q4134394	Гвазава, Левани Тенгизович	P54	член спортивной команды	Колхети	0	0	1996-01-01	1999-01-01	0
[2006, 2007]	гвазав	Q4134394	Гвазава, Левани Тенгизович	P54	член спортивной команды	Динамо	0	0	2005-01-01	2006-01-01	0
[1946, 1951]	гвалиор	Q158467	Гвалиор	P131	административно-территориальная единица	Гвалиор	0	0	1948-05-28	0	0
[1946, 1951]	гвалиор	Q158467	Гвалиор	P131	административно-территориальная единица	Княжество Гвалиор	0	0	1726-01-01	1948-05-28	0
[1946, 1951]	гвалиор	Q2085310	Гвалиор	P131	административно-территориальная единица	Мадхья-Бхарат	0	0	1948-05-28	1956-11-01	0
1942	гвардия	Q2305012	Советская гвардия	P571	дата основания/создания/возникновения	0	0	1941-09-18	0	0	0
1942	гвардия	Q15902840	знак «Гвардия»	P571	дата основания/создания/возникновения	0	0	1942-05-21	0	0	0
[1960, 1962]	гватемала	Q774	Гватемала	P463	участник организации или клуба	Международная ассоциация развития	0	0	1961-04-27	0	0
[1960, 1962]	гватемала	Q774	Гватемала	P463	участник организации или клуба	Центральноамериканский общий рынок	0	0	1961-07-03	0	0
[1950, 1951]	гватемала	Q774	Гватемала	P463	участник организации или клуба	ЮНЕСКО	0	0	1950-01-02	0	0
1985	гвендолина	Q1425384	Гвендолин	P577	дата публикации	0	0	1984-01-01	0	0	0
1963	гвинея	Q1006	Гвинея	P463	участник организации или клуба	Африканский союз	0	0	1963-01-01	0	0
1961	гвинея	Q1006	Гвинея	P463	участник организации или клуба	ЮНЕСКО	0	0	1960-02-02	0	0
1963	гвинея	Q1006	Гвинея	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1963-09-28	0	0
1961	гвинея	Q1006	Гвинея	P463	участник организации или клуба	Геркон	0	0	1959-03-09	0	0
2007	гвоздицкий	Q4134559	Гвоздицкий, Виктор Васильевич	P570	дата смерти	0	0	2007-05-21	0	0	0
[1967, 1971]	гвоздовер	Q4134576	Гвоздовер, Самсон Давидович	P570	дата смерти	0	0	1969-10-29	0	0	0
[2001, 2005]	гвоздовый	Q4134580	Гвоздово	P131	административно-территориальная единица	Волоедовское сельское поселение	0	0	2004-12-02	0	0
[2006, 2007]	гвоздок	Q15363020	Гвоздки	P131	административно-территориальная единица	Верхобыстрицкое сельское поселение	0	0	2006-01-01	0	0
1932	гго	Q726762	Русское географическое общество	P488	руководитель	Николай Иванович Вавилов	0	0	1931-01-01	1940-01-01	0
[1956, 1972]	гго	Q726762	Русское географическое общество	P488	руководитель	Евгений Никанорович Павловский	0	0	1952-01-01	1964-01-01	0
[1956, 1972]	гго	Q726762	Русское географическое общество	P488	руководитель	Станислав Викентьевич Калесник	0	0	1964-01-01	1977-01-01	0
1967	гго	Q726762	Русское географическое общество	P488	руководитель	Николай Михайлович	0	0	1892-01-01	1917-01-01	0
1932	гго	Q726762	Русское географическое общество	P488	руководитель	Юлий Михайлович Шокальский	0	0	1917-01-01	1931-01-01	0
[1943, 1947]	гданьск	Q1792	Гданьск	P131	административно-территориальная единица	Рейхсгау Данциг — Западная Пруссия	0	0	1939-10-08	1945-03-30	0
[1969, 1976]	гданьск	Q1792	Гданьск	P131	административно-территориальная единица	Гданьское воеводство	0	0	1975-06-01	1999-01-01	0
[1969, 1976]	гданьск	Q1792	Гданьск	P131	административно-территориальная единица	Гданьское воеводство	0	0	1945-03-30	1975-06-01	0
[1992, 1997]	гданьск	Q1792	Гданьск	P6	глава правительства	Посадский, Томаш	0	0	1994-01-01	1998-01-01	0
[1992, 1997]	гданьск	Q1792	Гданьск	P6	глава правительства	Franciszek Jamroż	0	0	1991-01-01	1994-01-01	0
1951	гданьск	Q1792	Гданьск	P6	глава правительства	Piotr Stolarek	0	0	1949-01-01	1950-01-01	0
[1943, 1947]	гданьск	Q1792	Гданьск	P6	глава правительства	Franciszek Kotus-Jankowski	0	0	1945-01-01	1946-01-01	0
[1943, 1947]	гданьск	Q1792	Гданьск	P17	государство	гитлеровская Германия	0	0	1939-09-01	1945-03-29	0
[1943, 1947]	гданьск	Q1792	Гданьск	P17	государство	Польша	0	0	1945-03-30	0	0
1990	гдлян	Q4134612	Тельман Хоренович Гдлян	P569	дата рождения	0	0	1940-12-20	0	0	0
[2006, 2007]	гдов	Q134396	Гдов	P131	административно-территориальная единица	муниципальное образование «Гдов»	0	0	2006-01-01	0	0
[2006, 2007]	гдов	Q134396	Гдов	P1376	является столицей	муниципальное образование «Гдов»	0	0	2006-01-01	0	0
[1952, 1963]	гдр	Q16957	ГДР	P463	участник организации или клуба	Организация Варшавского договора	0	0	1955-05-14	1990-10-02	0
[1973, 1979]	гдр	Q16957	ГДР	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1973-09-18	1990-10-02	0
1961	гдр	Q16957	ГДР	P35	глава государства	Вильгельм Пик	0	0	1949-10-11	1960-09-07	0
[1973, 1979]	гдр	Q16957	ГДР	P35	глава государства	Вилли Штоф	0	0	1973-10-03	1976-10-29	0
[1973, 1979]	гдр	Q16957	ГДР	P35	глава государства	Эрих Хонеккер	0	0	1976-10-29	1989-10-24	0
1961	гдр	Q16957	ГДР	P35	глава государства	Вальтер Ульбрихт	0	0	1960-09-12	1973-08-01	0
[1973, 1979]	гдр	Q16957	ГДР	P6	глава правительства	Вилли Штоф	0	0	1976-01-01	1989-01-01	0
[1973, 1979]	гдр	Q16957	ГДР	P6	глава правительства	Хорст Зиндерман	0	0	1973-01-01	1976-01-01	0
[1973, 1979]	гдр	Q16957	ГДР	P530	дипломатические отношения	Германия	0	0	1973-06-21	1990-10-03	0
[1973, 1979]	гдр	Q16957	ГДР	P6	глава правительства	Вилли Штоф	0	0	1964-01-01	1973-01-01	0
[1930, 1931]	гду	Q4146794	Государственный дальневосточный университет	P576	дата прекращения существования	0	0	1930-02-20	0	0	0
[1972, 1976]	гдыня	Q385	Гдыня	P131	административно-территориальная единица	Гданьское воеводство	0	0	1975-06-01	1999-01-01	0
[1949, 1953]	гевелинг	Q4134646	Гевелинг, Леонид Владимирович	P569	дата рождения	0	0	1951-10-06	0	0	0
[2004, 2005]	гевин	Q4134651	Гевино	P131	административно-территориальная единица	Кощинское сельское поселение	0	0	2004-12-02	0	0
[1999, 2000]	гедгаудас	Q2507650	Гедгаудас, Андрюс	P54	член спортивной команды	Видзев	0	0	1999-01-01	2000-01-01	0
[1999, 2000]	гедгаудас	Q2507650	Гедгаудас, Андрюс	P54	член спортивной команды	Кареда	0	0	1998-01-01	1999-01-01	0
1929	гедда	Q147330	(207) Гедда	P575	дата открытия	0	0	1879-10-17	0	0	0
[1973, 1976]	гедель	Q41390	Курт Гёдель	P166	полученные награды	Национальная научная медаль США	0	0	0	0	1974-01-01
2003	гедер	Q18405332	Гедера	P571	дата основания/создания/возникновения	0	0	2003-01-01	0	0	0
[1991, 1994]	гезлев	Q33345	Евпатория	P17	государство	СССР	0	0	1922-01-01	1991-01-01	0
[1991, 1994]	гезлев	Q33345	Евпатория	P17	государство	Украина	0	0	1991-01-01	2014-01-01	0
[1974, 1978]	гейда	Q363540	Петер Гаде	P569	дата рождения	0	0	1976-12-14	0	0	0
[1987, 1988]	гейдель	Q3813589	Гейдель, Поль	P570	дата смерти	0	0	1987-05-01	0	0	0
1945	гейдельберг	Q2966	Гейдельберг	P17	государство	гитлеровская Германия	0	0	1933-01-30	1945-03-29	0
1945	гейдельберг	Q2966	Гейдельберг	P131	административно-территориальная единица	Вюртемберг-Баден	0	0	1945-09-19	1952-04-25	0
[1990, 2000]	гейдельберг	Q2966	Гейдельберг	P463	участник организации или клуба	Climate Alliance	0	0	1994-01-01	0	0
1945	гейдельберг	Q2966	Гейдельберг	P17	государство	Германия в 1945-1949 годах	0	0	1945-03-30	1949-05-22	0
2007	гейдельберг	Q2966	Гейдельберг	P6	глава правительства	Эккарт Вюрцнер	0	0	2006-01-01	0	0
1945	гейдельберг	Q2966	Гейдельберг	P131	административно-территориальная единица	Республика Баден	0	0	1918-01-01	1945-09-19	0
[1933, 1934]	гейдельберг	Q2966	Гейдельберг	P17	государство	Веймарская республика	0	0	1919-11-09	1933-01-29	0
[1990, 2000]	гейдельберг	Q2966	Гейдельберг	P17	государство	Федеративная Республика Германии	0	0	1949-05-23	1990-10-02	0
[1990, 2000]	гейдельберг	Q2966	Гейдельберг	P17	государство	Германия	0	0	1990-10-03	0	0
2009	геймер	Q947885	Геймер	P577	дата публикации	0	0	2009-01-01	0	0	0
2009	геймер	Q947885	Геймер	P577	дата публикации	0	0	2009-10-29	0	0	0
[1944, 1946]	гейнлейн	Q57462	Конрад Генлейн	P570	дата смерти	0	0	1945-05-10	0	0	0
[1976, 1979]	гейсслер	Q774807	Гейсслер	P138	названо в честь	Генрих Гейслер	0	0	1976-01-01	0	0
2003	гейченко	Q4134890	Гейченко, Семён Степанович	P569	дата рождения	0	0	1903-02-14	0	0	0
[1953, 1954]	гейша	Q862905	Гейша	P577	дата публикации	0	0	1953-01-01	0	0	0
[1934, 1938]	гекатя	Q1339897	Гекатей	P138	названо в честь	Гекатей Милетский	0	0	1935-01-01	0	0
1998	гексаген	Q190020	гексоген	P61	первооткрыватель или изобретатель	Georg Friedrich Henning	0	0	0	0	1898-01-01
1988	гекторит	Q4016140	волконскоит	P579	IMA-статус	переопределён (Rd)	0	0	1987-01-01	0	0
[2000, 2001]	гелбрейт	Q186042	Джон Кеннет Гэлбрейт	P166	полученные награды	Живая легенда Библиотеки Конгресса	0	0	2000-04-01	0	0
[1961, 1963]	гелбрейт	Q186042	Джон Кеннет Гэлбрейт	P39	занимаемая должность	Список послов США в Индии	0	0	1961-01-01	1963-01-01	0
[2000, 2001]	гелбрейт	Q186042	Джон Кеннет Гэлбрейт	P166	полученные награды	Премия Леонтьева	0	0	0	0	2000-01-01
[1965, 1973]	гелбрейт	Q186042	Джон Кеннет Гэлбрейт	P166	полученные награды	почётный доктор Лёвенского католического университета	0	0	0	0	1972-01-01
[1999, 2006]	геленджик	Q15775	Геленджик	P131	административно-территориальная единица	Муниципальное образование город-курорт Геленджик	0	0	2005-01-01	0	0
2007	гелибол	Q5519097	Гелиболу	P577	дата публикации	0	0	2005-01-01	0	0	0
1926	гелина	Q132932	(1075) Гелина	P575	дата открытия	0	0	1926-09-29	0	0	0
[2000, 2004]	гелиос	Q1819219	Гелиос	P571	дата основания/создания/возникновения	0	0	2002-01-01	0	0	0
[1935, 1936]	гелла	Q138463	(1370) Гелла	P575	дата открытия	0	0	1935-08-31	0	0	0
1924	гелливар	Q132926	(1073) Гелливара	P575	дата открытия	0	0	1923-09-14	0	0	0
[1929, 1933]	гельбрас	Q4135067	Гельбрас, Виля Гдаливич	P569	дата рождения	0	0	1930-01-19	0	0	0
[1935, 1941]	гельвеция	Q5710732	гельвеций	P31	это частный случай понятия	неверно идентифицированный химический элемент	0	0	1940-01-01	1942-01-01	0
[1957, 1959]	гельвих	Q4135074	Гельвих, Пётр Августович	P570	дата смерти	0	0	1958-05-07	0	0	0
[2002, 2006]	гельзенкирхен	Q2765	Гельзенкирхен	P6	глава правительства	Франк Барановски	0	0	2004-01-01	0	0
[2002, 2006]	гельзенкирхен	Q2765	Гельзенкирхен	P6	глава правительства	Oliver Wittke	0	0	1999-01-01	2004-01-01	0
[1934, 1936]	гельмгольц	Q1603254	Гельмгольц	P138	названо в честь	Герман Гельмгольц	0	0	1935-01-01	0	0
1942	гельсингфорс	Q1757	Хельсинки	P1376	является столицей	Финляндская Демократическая Республика	0	0	1939-12-01	1940-03-12	0
[2003, 2007]	гельсингфорс	Q1757	Хельсинки	P6	глава правительства	Паюнен, Юсси	0	0	2005-01-01	2017-01-01	0
1939	гельсинка	Q1757	Хельсинки	P1376	является столицей	Финляндская Демократическая Республика	0	0	1939-12-01	1940-03-12	0
[2003, 2006]	гельсинка	Q1757	Хельсинки	P6	глава правительства	Паюнен, Юсси	0	0	2005-01-01	2017-01-01	0
1940	гематоген	Q1963961	Гематоген	P580	дата начала	0	0	1890-01-01	0	0	0
[1996, 1998]	гемер	Q687391	(9671) Гемера	P575	дата открытия	0	0	1997-10-05	0	0	0
[2001, 2005]	гемикрания	Q133823	Мигрень	P2176	лекарство, используемое для лечения	almotriptan	0	0	2001-05-07	0	0
[1935, 1941]	гемин	Q1501124	Гемин	P138	названо в честь	Гемин	0	0	1935-01-01	0	0
[1980, 1982]	гендельштейн	Q4135203	Гендельштейн, Альберт Александрович	P570	дата смерти	0	0	1981-03-25	0	0	0
2001	гендер	Q6367915	Гендера, Теодор	P570	дата смерти	0	0	2001-04-13	0	0	0
[1990, 1998]	генерал	Q4135308	Генерал	P577	дата публикации	0	0	1992-01-01	0	0	0
1996	гениева	Q4135416	Екатерина Юрьевна Гениева	P569	дата рождения	0	0	1946-04-01	0	0	0
[1986, 2001]	гений	Q4135424	Гений	P577	дата публикации	0	0	1991-01-01	0	0	0
[1998, 2000]	генич	Q4135448	Генич, Константин Михайлович	P54	член спортивной команды	Химки	0	0	1999-01-01	2001-01-01	0
[1977, 1981]	генич	Q4135448	Генич, Константин Михайлович	P569	дата рождения	0	0	1978-01-03	0	0	0
[1998, 2000]	генич	Q4135448	Генич, Константин Михайлович	P54	член спортивной команды	Вентспилс	0	0	1998-01-01	1998-01-01	0
[1945, 1946]	генлейновцы	Q57462	Конрад Генлейн	P570	дата смерти	0	0	1945-05-10	0	0	0
[1979, 1983]	геннадий	Q18634199	Геннадий	P569	дата рождения	0	0	1981-10-13	0	0	0
[1946, 1955]	геннадий	Q18237908	Геннадий	P569	дата рождения	0	0	1951-07-27	0	0	0
[1956, 1989]	генный	Q684118	Генен	P6	глава правительства	Alexandre Derveaux	0	0	1964-01-01	1995-06-01	0
2005	генон	Q2365399	Генон	P571	дата основания/создания/возникновения	0	0	2003-01-01	0	0	0
[1991, 2008]	генпрокуратура	Q2387440	Прокуратура Российской Федерации	P571	дата основания/создания/возникновения	0	0	1992-01-17	0	0	0
[2002, 2007]	генри	Q5715272	Генри	P569	дата рождения	0	0	2004-01-01	0	0	0
[1960, 1966]	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Никита Сергеевич Хрущёв	0	0	1953-09-07	1964-10-04	0
[1982, 1999]	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Константин Устинович Черненко	0	0	1984-02-13	1985-03-10	0
1991	генсек	Q1048744	генеральный секретарь ЦК КПСС	P576	дата прекращения существования	0	0	1991-11-06	0	0	0
1991	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Михаил Сергеевич Горбачёв	0	0	1985-03-11	1991-08-24	0
[1982, 1999]	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Леонид Ильич Брежнев	0	0	1964-10-14	1982-11-10	0
[1982, 1999]	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Юрий Владимирович Андропов	0	0	1982-11-12	1984-02-09	0
1991	генсек	Q1048744	генеральный секретарь ЦК КПСС	P1308	должность занимает	Владимир Антонович Ивашко	0	0	1991-08-24	1991-11-06	0
[2003, 2009]	гент	Q1296	Гент	P6	глава правительства	Даниэль Термон	0	0	2007-01-01	0	0
[1996, 1998]	генуя	Q1449	Генуя	P6	глава правительства	Giuseppe Pericu	0	0	1997-11-30	2007-05-28	0
[1996, 1998]	генуя	Q1449	Генуя	P6	глава правительства	Adriano Sansa	0	0	1993-12-05	1997-11-30	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	Большой крест со звездой и плечевой лентой ордена «За заслуги перед Федеративной Республикой Германия»	0	0	0	0	1975-01-01
2006	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	премия Свободы	0	0	0	0	2006-01-01
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	премия Теодора Хойса	0	0	0	0	1990-01-01
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P39	занимаемая должность	Список министров иностранных дел Германии	0	0	1982-10-04	1992-05-17	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P39	занимаемая должность	Список заместителей глав Правительства Германии	0	0	1974-05-16	1982-09-17	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	премия принцессы Астурийской за международное сотрудничество	0	0	0	0	1990-01-01
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P39	занимаемая должность	министр внутренних дел Германии	0	0	1969-10-22	1974-05-07	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P39	занимаемая должность	Список министров иностранных дел Германии	0	0	1974-05-17	1982-09-17	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P39	занимаемая должность	Список заместителей глав Правительства Германии	0	0	1982-10-04	1992-05-18	0
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	почётный доктор Университета Саламанки	0	0	0	0	1985-01-01
[1970, 1991]	геншер	Q106235	Ганс-Дитрих Геншер	P166	полученные награды	орден «Против зверской серьёзности»	0	0	0	0	1979-01-01
1929	геокчай	Q1822209	Гёйчай	P131	административно-территориальная единица	Геокчайский уезд	0	0	1867-01-01	1929-01-01	0
1932	геокчай	Q1822209	Гёйчай	P131	административно-территориальная единица	Гёйчайский район	0	0	1930-08-08	0	0
1930	геолком	Q4135691	Геологический комитет	P576	дата прекращения существования	0	0	1930-01-01	0	0	0
1985	геомаш	Q16636188	Геомаш	P571	дата основания/создания/возникновения	0	0	1885-01-01	0	0	0
[1988, 2000]	георг	Q6453451	Георг	P569	дата рождения	0	0	1999-04-20	0	0	0
[2001, 2004]	георгиевка	Q4135761	Георгиевка	P131	административно-территориальная единица	Беловский сельсовет	0	0	2003-12-01	0	0
[2001, 2004]	георгиевка	Q24728660	Георгиевка	P131	административно-территориальная единица	Георгиевский сельсовет	0	0	2003-12-01	0	0
[2001, 2004]	георгиевка	Q25508502	Георгиевка	P131	административно-территориальная единица	Серебропольский сельсовет	0	0	2003-12-01	0	0
[2001, 2006]	георгиевское	Q19868918	Хрящёвка	P131	административно-территориальная единица	Сельское поселение Хрящёвка	0	0	2005-02-28	0	0
[2001, 2006]	георгиевское	Q19868918	Хрящёвка	P1376	является столицей	Сельское поселение Хрящёвка	0	0	2005-02-28	0	0
[2001, 2006]	георгиевское	Q19868918	Хрящёвка	P131	административно-территориальная единица	Ставропольский район	0	0	1928-07-16	2005-02-28	0
1993	георгиевское	Q145073	Карачаевск	P138	названо в честь	Анастас Иванович Микоян	0	0	1927-11-07	1943-11-06	0
1992	георгиевское	Q145073	Карачаевск	P131	административно-территориальная единица	Карачаево-Черкесия	0	0	1991-01-01	0	0
[1937, 1945]	георгий	Q951607	Георгий	P570	дата смерти	0	0	1937-12-08	0	0	0
1943	георгий	Q18237934	Георгий	P569	дата рождения	0	0	1941-06-22	0	0	0
1996	георгий	Q12750177	Георгий	P570	дата смерти	0	0	1946-04-08	0	0	0
[1980, 1985]	георгий	Q20572060	Георгий	P569	дата рождения	0	0	1981-10-01	0	0	0
[2003, 2007]	георгий	Q4135841	Георгий	P131	административно-территориальная единица	Ракомское сельское поселение	0	0	2005-01-01	0	0
[1964, 1970]	георгий	Q16636217	Георгий	P569	дата рождения	0	0	1966-03-27	0	0	0
1943	георгий	Q583532	(359) Георгия	P575	дата открытия	0	0	1893-03-10	0	0	0
[1962, 1973]	гепарин	Q190016	Гепарин	P2175	применяется для лечения медицинского состояния	Тромбоэмболия лёгочной артерии	0	0	1972-03-21	0	0
